question,meta,answer
What is 'business contact information'?,"Organisations, General
","Business contact information (BCI) refers to an individual's name, position name or title, business telephone number, business address, business electronic mail address or business fax number and any other similar information about the individual, not provided by him or her solely for personal purposes.Based on the above definition, BCI is excluded from the data protection provisions of the PDPA. Separately, please note that the DNC provisions generally apply to all Singapore telephone numbers, unless  the organisation has obtained clear and unambiguous consent in written or other accessible form from the user/subscriber to the sending of the telemarketing message, or if the organisation can rely on the Personal Data Protection (Exemption from Section 43) Order 2013 or any other exclusions."
What are data intermediaries and how are they different from other organisations?,"Organisations, General
","An organisation shall be considered a data intermediary if it processes data on behalf of another organisation. If the organisation processes personal data as a data intermediary pursuant to a contract which is evidenced or made in writing, the data protection provisions of the PDPA would impose fewer obligations on the data intermediary, namely those pertaining to protection and retention of personal data. An example of a data intermediary could be an organisation which merely provides hosting or storage of the personal data for another organisation. Separately, the Electronic Transactions Act provides that a network service provider will not be subject to any liability under the PDPA, in respect of third-party material in the form of electronic records to which it merely provides access."
Are public agencies covered under the PDPA?,"Organisations, General
","The data protection provisions in the PDPA (parts III to VI) do not apply to any public agency or an organisation in the course of acting on behalf of a public agency in relation to the collection, use or disclosure of the personal data. Public agencies include the Government, any tribunal appointed under any written law and the statutory bodies specified in the Personal Data Protection (Statutory Bodies) Notification 2013. In the handling of personal data, public agencies and such organisations acting on their behalf will be subject to the relevant internal government rules and sector-specific legislation."
Can organisations use existing feedback or enquiries channels to handle data protection enquiries and requests?,"Organisations, General
",Organisations may ride on existing infrastructure to handle data protection-related enquiries and requests.
Where can I obtain legal advice on PDPA matters for my organisation?,"Organisations, General
","If your organisation is a Small and Medium Enterprise (SME), youmay wish to consider the Legal Aid Scheme for a one-hour consultation with a qualifiedlegal practitioner from a panel appointed by the Law Society of Singapore (LawSoc) for an initial assessment on the organisation's level of compliance with the PDPA. Please refer to out webpage Help for Organisations or LawSoc's webpage PDPA Legal Advice Scheme for further details."
Does the PDPC provide legal advice?,"Organisations, General
",The PDPC does not provide legal advice. You may refer to our Advisory Guidelines which provide guidance on the manner in which the PDPC will interpret provisions of the PDPA. The guidelines are advisory in nature and do not constitute legal advice. They are legally not binding on the PDPC or any other party. You may wish to engage independent legal advice if you are in doubt.
What can I expect from the PDPC with regard to my enquiry?,"Organisations, General
","The PDPC providesonly general information and clarification to enquiries. It is important to note that the PDPC does not provide legal or specific advice to your enquiry that may require a certain standard or decision from thePDPC to be made. Our response to your query is not asubstitute for legal advice, and is not legally binding on the PDPC or any other party. You may wish to engage independent legal advice if you are in doubt."
"How much personal data can an organisation collect, use or disclose?","Organisations, Collection, Use & Disclosure
","Under the PDPA, an organisation may collect, use or disclose personal data only for reasonably appropriate purposes under the circumstances. Organisations should notify individuals of the purposes for the collection, use and disclosure of personal data, and seek individuals' consent for the collection, use and disclosure of the personal data unless an exception under the PDPA applies. These exceptions are set out in the Second, Third and Fourth Schedules of the PDPA respectively.In this regard, organisations shall not, as a condition of supplying a product or service, require an individual to consent to the collection, use or disclosure of personal data beyond what is reasonable to provide the product or service. If the organisation wishes to collect any additional personal data, the organisation may provide the individual the option of whether to consent to this.For example, an organisation selling a consumer product to individuals should not require them to reveal their annual household income as a condition of selling the product, although it may ask them to provide such personal data as an optional field."
What can an organisation do with respect to existing personal data collected before the effective date of the data protection rules on 2 July 2014?,"Organisations, Collection, Use & Disclosure
","Generally, organisations may continue to use the personal data collected prior to the effective date of the data protection rules, unless the individual withdraws consent (if consent had previously been given) or indicates that he does not consent to such use of the personal data.  Consent will need to be obtained if the existing data is to be used for a new purpose different from the purpose for which it was collected, or if the existing data is to be disclosed to another organisation or individual, unless any exception applies. These exceptions are set out in the Second, Third and Fourth Schedules of the PDPA respectively. This includes exceptions catering to certain emergency situations, investigations, publicly available data or where the personal data is used for evaluative purposes.For example, if a company has been using its customer's personal data to provide after-sales customer support prior to the PDPA, it can continue to do so after the PDPA comes into effect, even if it did not obtain consent previously. However, if it now intends to use the same personal data for direct marketing where it had not collected the personal data for this purpose, consent will need to be obtained for such a purpose. If the organisation wishes to use the personal data for telemarketing, it will separately have to ensure compliance with the DNC provisions under the PDPA."
"How can an organisation obtain an individual's consent for the collection, use or disclosure of his or her personal data?","Organisations, Collection, Use & Disclosure
","Consent can be obtained in a number of different ways. As a best practice, an organisation should obtain consent that is in writing or recorded in a manner that is accessible for future reference, for example, if the organisation is required to prove that it had obtained consent.  An organisation may also obtain consent verbally although it may correspondingly be more difficult for an organisation to prove that it had obtained consent. For such situations, it would be prudent for the organisation to document the consent in some way."
Can an organisation require individuals to consent to the marketing of its products or services as a term or condition at the point of sign-up for a product or service?,"Organisations, Collection, Use & Disclosure
","As a good practice, organisations should generally seek individuals' consent for marketing via a distinct opt-in selection when signing up for a product or service.An organisation will not be considered to be requiring consent to market its products or services as a condition of providing a product or service, if it allows the individual to withdraw such consent and doing so will not result in ceasing of the provision of the product or service to the individual.The organisation should clearly state how the individual may withdraw consent from marketing subsequently (e.g. by providing a link or an email address for the individual to opt out).Organisations should also note that this approach to obtaining consent for sending marketing messages does not apply to sending of marketing messages via voice, text and fax where clear and unambiguous consent is required under the DNC Provisions of the PDPA."
Is the failure to opt out a form of consent?,"Organisations, Collection, Use & Disclosure
","Deeming that an individual has given his consent through inaction on his/her part will not be regarded as consent in all situations. Whether or not a failure to opt out can be regarded as consent will depend on the actual circumstances and facts of the case. Organisations are advised to obtain consent from an individual through a positive action of the individual to consent to the collection, use and disclosure of his personal data for the stated purposes."
Do organisations need individuals' consent to contact them to obtain their consent for a new purpose?,"Organisations, Collection, Use & Disclosure
","Organisations that wish to do soshould consider the following:Is the collection, use or disclosure of the personal data required or authorised under the PDPA or other laws for that purpose? If so, the organisation does not need to seek consent. Otherwise, the organisation should consider whether the individual has previously withdrawn or indicated that he does not consent to that new purpose.If the individual has previously withdrawn or indicated that he does not consent to that new purpose, the organisation should not contact him to seek consent for that new purpose. However, the organisation may seek fresh consent during any new transactionwith the individual. For example, a service provider may seek the consent of subscribers who previously indicated they did not consent to the use of their personal data for other purposes, at the point of renewal of their service subscription.Where the individual has not previously withdrawn or indicated that he does not consent to that purpose, the organisation may contact the individual to seek consent for the new purpose. However, if the new purpose involves marketing, the organisation must also comply with the Do Not Call (DNC) provisions when contacting the individual via voice, text or fax messages."
Can an organisation selling databases containing personal data to other organisations continue to do so after the PDPA comes into effect?,"Organisations, Collection, Use & Disclosure
","An organisation may use personal data collected before 2 July 2014 for the purposes for which the personal data was collected, unless consent for such use is withdrawn or the individual has indicated to the organisation that he does not consent to the use of the personal data. If an organisation intends to disclose the personal data on or after the appointed day (other than disclosure that is necessarily part of the organisation's use of the personal data), the organisation must comply with the data protection provisions in relation to such disclosure. As the sale of databases containing personal data involves a disclosure of personal data, organisations must obtain valid consent from the relevant individuals before doing so."
Do organisations need to obtain consent from their employees before disclosing their personal data for the purpose of business merger or acquisition? ,"Organisations, Collection, Use & Disclosure
","The PDPA provides for certain exceptions to the requirement to obtain consent. One of these exceptions allows organisations to collect, use or disclose personal data without consent for the purpose of “business asset transactions”, subject to certain conditions. “Business asset transaction” is defined in the PDPA and can apply to mergers and acquisitions. For example, Organisation A is a prospective buyer of Organisation B. Organisation A can collect personal data without consent (and Organisation B can disclose without consent) about B’s employees, customers, directors or shareholders if it relates directly to the business with which the acquisition is concerned. The personal data must be necessary for Organisation A to determine whether to proceed with the acquisition, and organisations A and B must have entered into an agreement that requires A to use or disclose the personal data solely for purposes related to the acquisition.For full details, please refer to the Second Schedule, paragraph 1(p) and 3 and Fourth Schedule, paragraph 1(p) and 3 of the PDPA."
Do prospective employers need to obtain consent from job applicants for the collection of their personal data from their past employers for evaluating the job applicant?,"Organisations, Collection, Use & Disclosure
","Organisations may collect, use and disclose personal data without consent where this is necessary for evaluative purposes. The term “evaluative purpose” is defined in section 2(1) of the PDPA and includes, amongst other things, the purpose of determining the suitability, eligibility or qualifications of an individual for employment, promotion in employment or continuance in employment.Hence, the evaluative purpose exception allows employers to collect, use and disclose personal data without the consent of the individual concerned for various purposes that are common in the employment context, for example:a) Obtaining a reference from a prospective employee’s former employer where necessary to determine his suitability for employment; orb) Obtaining opinions about the employee where necessary to determine his eligibility for promotion. In practice, an organisation that has been requested to disclose information about its past employee may not be able to evaluate whether it is necessary for evaluative purposes, and may therefore wish to obtain the consent of the individual."
Do organisations need consent from individuals to disclose their personal data to overseas authorities upon request?,"Organisations, Collection, Use & Disclosure
","Organisations are required to comply with the Data Protection Provisions, including the Consent Obligation and Transfer Limitation Obligation, under the PDPA for any disclosure and overseas transfer of personal data, unless an exception applies.Depending on the specific factsof the case, an exception to the Consent Obligation may apply such that an organisation may disclose the personal data to an overseas authority without consent from the individual. The circumstances for disclosure without consent are provided in the Fourth Schedule of the PDPA. The Transfer Limitation Obligation may also be taken to be satisfied where certain exceptions in the Fourth Schedule applies (more details are set out in Regulation 9(3)(e) of the Personal Data Protection Regulations 2014).However, no specific exception under the PDPA routinely covers all requests from overseas authorities.If an organisation requires further guidance from the PDPC on this matter, please write in to us at info@pdpc.gov.sg."
Do organisations have to provide notifications when CCTVs are deployed? What should CCTV notices state?,"Organisations, Collection, Use & Disclosure
","Organisations must notify individuals of the purposes for which their personal data (including CCTV footage of them) is collected, used or disclosed and obtain their consent, unless any exception applies. For example, notification and consent is not required if the personal data is publicly available. The PDPA does not prescribe the content of notifications. Generally, organisations should indicate that CCTVs are operating in the premises, and the purpose of the CCTVs if such purpose may not be obvious to the individual. Please refer to the Advisory Guidelines on the PDPA for Selected Topics, Chapter 4, on Photography, Video and Audio Recordings,and PDPC’s Guide to Notification for information and examples on good practices organisations may adopt when notifying individuals about personal data policies and practices."
Must an organisation always provide access to an individual's personal data when a request is made?,"Organisations, Access & Correction
","An organisation is required to respond to an access request in respect of personal data in its possession as well as personal data that is under its control. However, organisations are prohibited from providing an individual access to his personal data if the provision of the data could reasonably be expected to: cause immediate or grave harm to the individual's safety or physical/mental health;threaten the safety or physical/mental health of another individual; reveal personal data about another individual; reveal the identity of another individual who has provided the personal data, and the individual has not consented to the disclosure of his or her identity; or be contrary to national interest. In addition, there are cases where organisations may deny access requests. For example, organisations will not be required to provide access to personal data if it is subject to legal professional privilege, or if the disclosure of the information would reveal confidential commercial information that could harm the competitive position of the organisation. There are also exclusions for access and correction of personal data with respect to any examination conducted by an education institution, examination scripts and examination results prior to their release. Organisations may also refuse access to or refuse to correct opinion data kept solely for an evaluative purpose as defined in the PDPA. The specific exceptions may be found in section 21 and the Fifth Schedule of the  PDPA."
What personal data must an organisation provide when an individual submits an access request?,"Organisations, Access & Correction
",An organisation that receives an access request from an individual is required to provide the information requested by the individual. This may include:the individual's personal data (as specified in the request); andinformation about the ways the personal data has been or may have been used or disclosed by the organisation (as specified in the request).
Can an organisation charge a fee for access requests?,"Organisations, Access & Correction
","Organisations may charge an individual a reasonable fee for access to personal data about the individual. The purpose of the fee is to allow organisations to recover the incremental costs of responding to the access request, such as the cost of producing a physical copy of the personal data requested. To allow for greater flexibility, there is no prescribed amount of fees imposed on organisations.As organisations are required to make the necessary arrangements to provide for standard types of access requests, the costs incurred in capital purchases (for example, purchasing new equipment to provide access to the requested personal data) should not be transferred to individuals. If the organisation chooses to charge a fee for an access request, the fee should accurately reflect the time and effort required to respond to the request."
Must an organisation provide correction to an individual's personal data when a request is made?,"Organisations, Access & Correction
","Upon request, an organisation is generally required to correct an error or omission and send the corrected personal data to every other organisation to which the personal data was disclosed to within a year before the correction, unless the other organisation does not need the corrected personal data for any legal or business purpose. For example, the organisation may have disclosed a customer's name and address to a delivery company it engaged on a once-off basis to deliver a product that the customer purchased. Since the delivery has been completed, the organisation will not be required to send the corrected personal data to the delivery company.An organisation need not make a correction where it is satisfied on reasonable grounds that a correction should not be made. In this case, the organisation shall annotate the personal data in its possession or under its control with the correction that is requested but not made. An organisation is also not required to alter an opinion, including a professional or expert opinion. Exceptions from correction requirement may be found in the Sixth Schedule of the PDPA."
Can an organisation charge a fee for correction requests?,"Organisations, Access & Correction
",Organisations are not entitled to impose a fee for the correction of personal data required under the PDPA.
How long can an organisation retain its customers' personal data?,"Organisations, Care of Personal Data
","The PDPA does not prescribe the retention period of personal data. However, an organisation should cease to retain its documents containing personal data, or remove the means by which the personal data can be associated with particular individuals, as soon as it is reasonable to assume that the purpose of collection is no longer served by the retention; and retention is no longer necessary for business or legal purposes.Organisations are not required to delete or destroy a customer's personal data upon the customer's request, and may retain it as long as there is a business or legal reason to do so."
What are the rules on transferring personal data out of Singapore?,"Organisations, Care of Personal Data
","The PDPA requires that measures are taken by the organisation transferring the personal data overseas to ensure a comparable standard of protection of the personal data overseas. These measures include the use of contractual agreements among the organisations involved in the transfer conditions, for example, by ensuring that the recipient overseas is bound by legally binding obligations to provide a comparable standard of protection. These measures are set out in the Personal Data Protection Regulations 2014."
"When can organisations collect, use or disclose an individual's NRIC number (or copy of NRIC)?","Organisations, NRIC Numbers
","Organisations are generally not allowed to collect, use or disclose an individual's NRIC number (or copy of NRIC). They may do so only if it is required under the law (or an exception under the PDPA applies) or necessary to accurately establish or verify the identity of the individual to a high degree of fidelity.Organisations which collect individuals' NRIC numbers (or copies of NRIC) must be able to provide justification on request to individuals and/or the PDPC on the basis for their collection, use or disclosure of NRIC numbers (or copies of NRIC)."
What does it mean that organisations can collect an NRIC number (or copy of the NRIC) if it is necessary to accurately establish or verify the identity of an individual to a high degree of fidelity?,"Organisations, NRIC Numbers
","Organisations can collect an individual's NRIC number (or copy of the NRIC) to ensure that the individual is identified to a high degree of accuracy.Examples would be transactions that typically relate to healthcare, financial or real estate matters, such as property transactions, background credit checks with a credit bureau, and medical check-ups and reports where the failure to identify an individual accurately would pose a significant safety or security risk or significantly impact or harm the individual and/or the organisation."
"Why is the treatment of NRIC numbers applicable to other national identification numbers, such as Birth Certificate numbers, Foreign Identification Numbers (FIN) and Work Permit numbers?","Organisations, NRIC Numbers
","The treatment for NRIC numbers also applies to Birth Certificate numbers, FIN and Work Permit numbers that are issued by the Singapore Government, in view that they are also permanent and irreplaceable identifiers that bear similar risks as NRIC numbers if indiscriminately collected, used or disclosed."
Is the treatment of NRIC numbers applicable to passport numbers?,"Organisations, NRIC Numbers
","While passport numbers are periodically replaced, they too are important identification numbers that can serve the same purposes as the NRIC, FIN, Work Permit and Birth Certificate numbers. Therefore, organisations should accord passports similar treatment as that for NRICs, i.e. refrain from collecting passport numbers. If there is a need to collect, organisations should limit their collection to partial passport numbers and ensure an appropriate level of security to protect the passport numbers collected."
When can organisations retain an individual's physical NRIC?,"Organisations, NRIC Numbers
","Organisations should not retain an individual's physical NRIC unlessits retentionis required under the law. This is given the importance of the NRIC as a national identification document that is issued to all citizens and permanent residents of Singapore, and the impact to the individual should the physical NRIC be misplacedor stolen and used for illegal activities."
Is the treatment of the retention of the physical NRIC applicable to other identification documents (IDs) such as the driver's licence?,"Organisations, NRIC Numbers
","Yes, the positions taken for the retention of the physical NRIC apply to the retention of other IDs that contain the NRIC number (e.g. driver's licence, passport). This is because the risks associated with the indiscriminate retention of physical NRICs as collateral similarly apply to the retention of other IDs that contain the individuals' NRIC numbers. Organisations that wish to retain such IDs should only do so where it is required under the law, and put in place the appropriate security arrangements to protect the personal data in their possession or under their control."
Do the following situations constitute collection of personal data - for example:(a) checking the physical NRIC to verify the identity of an individual;(b) checking an individual's NRIC to verify his identity at point of entry into a particular place; and(c) checking an individual's NRIC to verify his age?,"Organisations, NRIC Numbers
","Where there is no intention to obtain control or possession of the physical NRIC in checking the NRIC for the purpose of establishing or verifying the identity of the individual, and no personal data is retained once the NRIC is returned immediately to the individual, the PDPC does not consider it to be collection of personal data."
"What alternatives should organisations use in place of NRIC numbers, physical NRIC or copies of the NRIC?","Organisations, NRIC Numbers
","The PDPC does not prescribe the types of identifiers that organisations should adopt in place of NRIC numbers. Organisations should assess the suitability of alternatives to NRIC numbers based on their own business and operational needs.However, some alternatives that have been adopted by organisations include organisation or user-generated ID, tracking number, organisation-issued QR code, or monetary deposit. Organisations should also consider whether the alternatives provided are reasonable, and avoid collecting excessive personal data."
Can organisations collect partial NRIC numbers?,"Organisations, NRIC Numbers
","The PDPC recognises that organisations may wish to collect partial NRIC numbers when other alternatives are not satisfactory. Organisations that collect the last three numerical digits and checksum of the NRIC number (e.g. ""567A"" from the full NRIC number of ""S1234567A"") would not be considered to be collecting the full NRIC number, and therefore not subject to the treatment for NRIC numbers set out in the PDPC's advisory guidelines. For more information on partial NRIC numbers, please refer to the PDPC's Technical Guide to Advisory Guidelines on the Personal Data Protection Act for NRIC and other National identification Numbers.Partial NRIC numbers are, however, considered personal data under the PDPA to the extent that an individual can be identified from the partial NRIC number, or from the number and other information to which the organisation has or is likely to have access. Organisations that collect partial NRIC numbers must still comply with the Data Protection Provisions of the PDPA, such as making reasonable security arrangements to protect the personal data in their possession or under their control from unauthorised disclosure."
"Can organisations collect partial NRIC numbers of more than the last three numbers and checksum (e.g. ""4567A"" of ""S1234567A"")?","Organisations, NRIC Numbers
","Collecting more than the last three numerical digits and checksum increases the risk that the full NRIC number can be generated and correctly matched to an individual. Organisations should be mindful that more information could make it easier to re-identify an individual and therefore weigh the risks carefully against the need for collecting more information. Organisations that collect partial identification numbers must still comply with the Data Protection Provisions of the PDPA, such as making reasonable security arrangements to protect the personal data in their possession or under their control from unauthorised disclosure."
"Can organisations that collect partial identification numbers include the first letter of the NRIC number (i.e. ""S"" of ""S1234567A"") or FIN (i.e. ""G"" of ""G1234567A"")?","Organisations, NRIC Numbers
","Collecting more information than the last three numbers and checksum of an individual's NRIC number of FIN increases the risk that the full NRIC number or FIN could be generated and correctly matched to the individual. For example, the first letter (e.g. S/T/F/G) provides additional information on the individual's citizenship, and the first two numbers of the NRIC number could also reveal the individual's birth year. This additional information could make it easier to identify an individual if collected. Organisations should therefore weigh the risks carefully against the need to include more information than the last three numbers and checksum of an individual's NRIC number of FIN. Organisations that collect partial identification numbers must still comply with the Data Protection Provisions of the PDPA, such as making reasonable security arrangements to protect the personal data in their possession or under their control from unauthorised disclosure."
Can organisations randomly generate NRIC numbers?,"Organisations, NRIC Numbers
","An organisation that randomly generates a NRIC number (e.g. by applying an algorithm or using a validator to ascertain that the randomly generated number is a valid NRIC number) will be considered as having collected the NRIC number. The collection, use and disclosure of such numbers is subject to the treatment set out in the Advisory Guidelines on the PDPA for NRIC and other National Identification Numbers, i.e. organisations may not collect, use or disclose such numbers unless it is required by the law or necessary to accurately establish or verify the identity of the individualto a high degree of fidelity."
